Policy,Test Payments,Total Failed Value,Recovery Rate,Gross Recovered Value,Action Cost,Net Recovery,vs Random Net Lift,vs Random Improvement %
AI expected-net-recovery,700,3551709.0,0.5714285714285714,2109652.0,10649.071,2099002.929,518716.4750000001,32.82420561709125
Highest probability,700,3551709.0,0.5671428571428572,2102577.0,11095.0045,2091481.9954999997,511195.5414999998,32.3482834524126
Historical best action,700,3551709.0,0.45,1678910.0,8879.2725,1670030.7274999998,89744.2734999999,5.678987709654815
Random allowed action,700,3551709.0,0.43142857142857144,1597015.0,16728.546,1580286.454,0.0,0.0
Oracle upper bound,700,3551709.0,0.8628571428571429,3132955.0,8383.0795,3124571.9205,1544285.4665,97.72186951239918
